id,xs,ys,matches
  0, -7.000000,   2.000000,100
  1, -9.060241,   2.000000,100
  2,-10.836066,   1.163934,100
  3,-12.000000,   0.000000,100
  4,-12.421488,  -0.909091,100
  5,-15.000000,  -2.000000,100
  6,-16.306452,  -0.806452,100
  7,-17.000000,   0.000000,100
  8,-17.000000,   0.000000,100
  9,-21.200000,   1.764706,100
 10,-23.000000,   3.008197,100
 11,-23.000000,   5.000000,100
 12,-23.000000,   6.487603,100
 13,-23.688172,   8.935484,100
 14,-22.669291,  10.362205,100
 15,-20.000000,  12.000000,100
 16,-18.629921,  14.307087,100
 17,-17.000000,  17.000000,100
 18,-16.016129,  18.475806,100
 19,-15.000000,  20.000000,100
 20,-13.016129,  20.000000,100
 21,-12.000000,  20.000000,100
 22,-10.762295,  20.000000,100
 23, -7.000000,  20.000000,100
 24, -7.000000,  20.000000,100
 25, -5.011628,  17.488372,100
 26, -1.209677,  17.000000,100
 27,  0.000000,  17.000000,100
 28,  0.243902,  17.000000,100
 29,  2.000000,  17.000000,100
 30,  1.725806,  16.306452,100
 31,  2.000000,  14.720930,100
 32,  4.231405,   9.553719,100
 33,  8.953488,   3.662791,100
 34, 21.933333, -11.391667,100
 35, 37.693182, -29.113636,100
 36, 52.512605, -47.369748,100
 37, 72.519481, -71.077922,100
 38, 97.858491,-101.433962,100
 39,117.637500,-124.387500,100
 40,140.350877,-154.798246,100
 41,161.864198,-178.222222,100
 42,182.310345,-201.879310,100
 43,200.277108,-223.253012,100
 44,216.525862,-240.905172,100
 45,231.083333,-256.928571,100
 46,244.224138,-271.603448,100
 47,255.333333,-281.452381,100
 48,263.818966,-289.103448,100
 49,269.785714,-294.785714,100
 50,274.551724,-298.146552,100
 51,279.317073,-299.000000,100
 52,281.000000,-299.000000,100
 53,283.162791,-297.430233,100
 54,284.172414,-294.612069,100
 55,284.000000,-290.035294,100
 56,283.466102,-286.101695,100
 57,283.535714,-282.071429,100
 58,281.333333,-276.957265,100
 59,281.000000,-271.178571,100
 60,284.413793,-262.362069,100
 61,290.416667,-245.047619,100
 62,299.888889,-221.196581,100
 63,313.048780,-191.707317,100
 64,331.676471,-152.039216,100
 65,350.279070,-109.860465,100
 66,371.172727, -63.363636,100
 67,391.388235, -14.305882,100
 68,410.072072,  35.252252,100
 69,426.908046,  82.701149,100
 70,443.414414, 129.495495,100
 71,457.842697, 174.359551,100
 72,471.761062, 215.221239,100
 73,484.153846, 251.868132,100
 74,493.663717, 282.831858,100
 75,503.163043, 310.630435,100
 76,509.460177, 329.398230,100
 77,515.700000, 344.466667,100
 78,520.234234, 355.351351,100
 79,523.208791, 362.505495,100
 80,526.203540, 367.168142,100
 81,527.000000, 368.000000,100
 82,525.526316, 368.000000,100
 83,524.032967, 366.791209,100
 84,522.814159, 363.345133,100
 85,521.241758, 359.120879,100
 86,517.789474, 352.789474,100
 87,513.483516, 346.978022,100
 88,508.736842, 340.578947,100
 89,501.407407, 332.222222,100
 90,488.921875, 322.804688,100
 91,477.837500, 315.162500,100
 92,463.104839, 310.104839,100
 93,444.148148, 303.259259,100
 94,425.056000, 296.984000,100
 95,403.121951, 289.682927,100
 96,388.443548, 285.967742,100
 97,359.939024, 277.536585,100
 98,339.032258, 272.169355,100
 99,321.833333, 264.511905,100
100,317.578512, 262.537190,100
101,285.843373, 254.481928,100
102,271.520000, 246.456000,100
103,260.390244, 240.548780,100
104,251.919355, 235.887097,100
105,244.547619, 231.142857,100
106,239.909091, 226.826446,100
107,237.894118, 223.023529,100
108,235.025210, 220.243697,100
109,238.000000, 217.000000,100
110,238.683333, 215.733333,100
111,240.000000, 215.000000,100
112,242.747899, 215.084034,100
113,246.858974, 217.000000,100
114,248.857143, 218.685714,100
115,252.866667, 221.533333,100
116,253.000000, 225.818966,100
117,255.934066, 229.835165,100
118,257.189655, 233.784483,100
119,256.733333, 235.000000,100
120,251.413793, 234.482759,100
121,241.913043, 229.543478,100
122,228.236842, 218.315789,100
123,210.582418, 203.032967,100
124,190.017391, 182.513043,100
125,168.274725, 161.296703,100
126,146.554545, 136.172727,100
127,124.835165, 111.692308,100
128,104.451327,  86.415929,100
129, 82.902174,  61.891304,100
130, 62.571429,  38.196429,100
131, 45.075269,  17.440860,100
132, 29.072072,  -2.630631,100
133, 14.129032, -18.903226,100
134,  1.774775, -31.540541,100
135, -9.255319, -44.244681,100
136,-16.354545, -52.354545,100
137,-25.189474, -58.094737,100
138,-30.820755, -62.584906,100
139,-34.125000, -64.000000,100
140,-37.153846, -64.000000,100
141,-39.595506, -62.752809,100
142,-38.245614, -61.000000,100
143,-34.444444, -62.900000,100
144,-25.701754, -68.131579,100
145,-11.802198, -78.054945,100
146,  4.456140, -91.298246,100
147, 25.898876,-106.539326,100
148, 48.723214,-125.151786,100
149, 73.842697,-145.146067,100
150, 99.981982,-164.909910,100
151,124.833333,-187.033333,100
152,150.675676,-205.900901,100
153,174.166667,-225.766667,100
154,196.559633,-241.229358,100
155,216.244444,-258.300000,100
156,233.472222,-268.990741,100
157,249.771739,-281.326087,100
158,261.972222,-287.222222,100
159,272.384615,-292.483516,100
160,280.245455,-295.600000,100
161,287.956522,-296.000000,100
162,290.620370,-294.675926,100
163,294.838710,-289.817204,100
164,296.000000,-285.536364,100
165,297.129032,-281.516129,100
166,298.809091,-276.436364,100
167,296.000000,-271.870968,100
168,298.916667,-264.583333,100
169,300.417582,-253.956044,100
170,306.581818,-235.981818,100
171,316.088889,-211.844444,100
172,328.759259,-178.490741,100
173,344.560440,-140.571429,100
174,361.644860, -96.532710,100
175,380.348315, -51.123596,100
176,398.009259,  -2.490741,100
177,415.366667,  46.911111,100
178,431.436364,  93.736364,100
179,446.329545, 138.863636,100
180,461.345133, 180.690265,100
181,474.793478, 221.434783,100
182,485.043860, 254.973684,100
183,493.588889, 281.955556,100
184,501.921739, 308.834783,100
185,508.315217, 332.576087,100
186,513.000000, 348.026786,100
187,516.752688, 358.483871,100
188,519.000000, 365.000000,100
189,520.500000, 367.891304,100
190,522.443478, 366.539130,100
191,521.738095, 359.309524,100
192,519.000000, 352.594937,100
193,518.811024, 345.023622,100
194,517.525000, 335.800000,100
195,514.840000, 328.248000,100
196,514.000000, 319.463415,100
197,511.144000, 311.672000,100
198,507.265060, 304.289157,100
199,498.439024, 297.365854,100
200,485.083333, 288.107143,100
201,470.040984, 282.885246,100
202,450.883721, 275.686047,100
203,429.032787, 270.286885,100
204,405.674419, 265.093023,100
205,380.425000, 261.291667,100
206,356.505747, 256.000000,100
207,333.940171, 253.538462,100
208,313.696629, 248.853933,100
209,293.466102, 248.000000,100
210,276.539326, 244.966292,100
211,262.601695, 243.000000,100
212,250.758242, 243.000000,100
213,241.401709, 243.000000,100
214,234.637363, 243.000000,100
215,231.008547, 241.512821,100
216,228.467391, 240.000000,100
217,226.258621, 241.991379,100
218,226.108696, 244.108696,100
219,227.678261, 247.452174,100
220,230.000000, 248.382022,100
221,230.864407, 250.000000,100
222,233.846154, 252.406593,100
223,237.205128, 253.000000,100
224,239.868132, 255.538462,100
225,242.586207, 256.000000,100
226,244.978022, 256.000000,100
227,245.000000, 255.895652,100
228,244.021739, 251.228261,100
229,238.784483, 244.568966,100
230,224.387097, 230.483871,100
231,207.868421, 213.070175,100
232,187.891304, 193.815217,100
233,167.681416, 172.690265,100
234,146.263736, 148.186813,100
235,124.070796, 126.840708,100
236,100.872340, 103.085106,100
237, 79.590909,  80.572727,100
238, 48.305556,  51.201389,100
239, 21.932773,  26.747899,100
240,  5.036585,  11.000000,100
241, -8.216000,   1.440000,100
242,-22.096386,  -7.807229,100
243,-32.814516, -14.653226,100
244,-41.609756, -17.987805,100
245,-48.959677, -21.766129,100
246,-55.000000, -23.000000,100
247,-57.752066, -23.000000,100
248,-58.000000, -23.000000,100
249,-60.065574, -23.000000,100
250,-59.220930, -22.651163,100
251,-57.566667, -20.000000,100
252,-55.576471, -20.000000,100
253,-50.041322, -23.148760,100
254,-40.136364, -30.806818,100
255,-25.697479, -40.218487,100
256, -6.218391, -57.011494,100
257, 13.470085, -75.358974,100
258, 37.298851, -97.126437,100
259, 62.106195,-119.106195,100
260, 89.689655,-142.218391,100
261,116.747748,-165.135135,100
262,144.000000,-187.337209,100
263,169.741071,-206.687500,100
264,195.298851,-225.885057,100
265,218.330357,-239.616071,100
266,238.873563,-254.264368,100
267,259.000000,-264.441441,100
268,275.420455,-274.329545,100
269,289.848214,-280.687500,100
270,300.034483,-286.229885,100
271,309.250000,-290.107143,100
272,315.636364,-293.215909,100
273,319.491071,-294.000000,100
274,323.921348,-294.000000,100
275,325.000000,-294.000000,100
276,325.000000,-291.943820,100
277,324.552632,-290.035088,100
278,321.450549,-287.615385,100
279,315.767857,-285.071429,100
280,314.000000,-281.021978,100
281,312.200000,-272.136364,100
282,314.615385,-256.923077,100
283,321.672727,-234.709091,100
284,331.576087,-203.902174,100
285,345.570093,-165.523364,100
286,360.054945,-125.241758,100
287,377.364486, -78.962617,100
288,405.712644,  -3.816092,100
289,436.870968,  81.846774,100
290,453.123288, 128.095890,100
291,465.953125, 163.015625,100
292,482.717949, 212.051282,100
293,495.094488, 248.622047,100
294,505.935897, 281.692308,100
295,514.233871, 305.024194,100
296,522.750000, 329.512500,100
297,527.760000, 345.000000,100
298,531.629630, 357.543210,100
299,535.746032, 365.436508,100
300,538.642857, 370.857143,100
301,539.645669, 372.637795,100
302,540.444444, 372.185185,100
303,541.634921, 369.587302,100
304,542.000000, 364.800000,100
305,542.000000, 359.039370,100
306,542.000000, 352.500000,100
307,541.290323, 347.016129,100
308,541.146341, 338.743902,100
309,540.233871, 332.362903,100
310,534.821429, 325.869048,100
311,526.766129, 318.500000,100
312,512.433735, 312.144578,100
313,495.409836, 305.967213,100
314,474.500000, 300.357143,100
315,451.836066, 292.991803,100
316,425.500000, 287.255814,100
317,401.737705, 280.352459,100
318,376.494253, 274.367816,100
319,355.652893, 267.719008,100
320,330.343750, 260.666667,100
321,309.472441, 254.102362,100
322,290.259259, 248.555556,100
323,274.738095, 241.285714,100
324,260.170732, 236.500000,100
325,250.130081, 232.300813,100
326,241.207317, 228.426829,100
327,234.424000, 225.960000,100
328,230.481928, 221.000000,100
329,227.146341, 219.560976,100
330,225.785714, 217.000000,100
331,225.000000, 217.000000,100
332,225.000000, 219.500000,100
333,225.634146, 220.000000,100
334,229.616279, 220.953488,100
335,230.100000, 222.150000,100
336,233.346154, 225.000000,100
337,236.450820, 227.049180,100
338,238.324786, 230.000000,100
339,238.987654, 230.000000,100
340,235.785714, 224.285714,100
341,226.743902, 215.609756,100
342,214.880000, 203.912000,100
343,198.385542, 186.879518,100
344,178.983740, 167.447154,100
345,157.674699, 144.337349,100
346,136.639344, 121.459016,100
347,113.823529,  95.258824,100
348, 92.850000,  73.766667,100
349, 73.831325,  50.397590,100
350, 59.450820,  36.303279,100
351, 39.530120,  15.734940,100
352, 24.254098,  -1.606557,100
353, 10.511905, -14.130952,100
354, -1.123967, -24.867769,100
355,-10.313953, -34.918605,100
356,-17.016807, -39.336134,100
357,-24.436782, -43.000000,100
358,-28.610169, -43.000000,100
359,-30.586207, -43.000000,100
360,-33.606838, -41.589744,100
361,-34.045455, -40.000000,100
362,-33.000000, -39.008547,100
363,-33.000000, -35.866667,100
364,-30.617391, -30.339130,100
365,-28.000000, -27.500000,100
366,-27.394737, -24.578947,100
367,-24.260870, -22.445652,100
368,-19.295652, -20.000000,100
369,-13.902174, -22.717391,100
370, -4.852174, -25.165217,100
371, 10.413043, -38.260870,100
372, 28.139130, -52.200000,100
373, 49.377778, -69.966667,100
374, 71.915888, -90.747664,100
375, 94.651685,-112.438202,100
376,119.233645,-134.495327,100
377,141.910112,-157.325843,100
378,162.759259,-176.527778,100
379,184.065934,-197.065934,100
380,202.175926,-213.231481,100
381,220.000000,-230.714286,100
382,234.467890,-244.165138,100
383,249.295455,-255.022727,100
384,260.110092,-264.018349,100
385,268.888889,-270.633333,100
386,275.390909,-275.263636,100
387,283.746988,-279.373494,100
388,287.416000,-279.000000,100
389,286.320000,-278.400000,100
390,285.952756,-274.606299,100
391,284.000000,-271.266667,100
392,283.904762,-267.126984,100
393,280.263158,-262.710526,100
394,275.780488,-258.691057,100
395,272.840000,-255.040000,100
396,269.500000,-249.709677,100
397,267.855263,-242.855263,100
398,270.907563,-229.327731,100
399,277.168831,-210.389610,100
400,287.421488,-182.644628,100
401,301.230769,-150.846154,100
402,319.739496,-107.756303,100
403,338.467532, -66.051948,100
404,355.545455, -28.115702,100
405,380.389610,  23.948052,100
406,396.719008,  62.876033,100
407,417.194805, 114.506494,100
408,435.934426, 158.024590,100
409,451.405063, 198.088608,100
410,463.300813, 232.772358,100
411,475.783133, 265.024096,100
412,484.065041, 292.398374,100
413,491.939759, 315.204819,100
414,497.544715, 332.032520,100
415,502.511905, 346.714286,100
416,507.661157, 358.247934,100
417,511.152941, 365.388235,100
418,513.869919, 369.146341,100
419,514.000000, 371.000000,100
420,516.851240, 368.520661,100
421,518.172414, 365.494253,100
422,517.050000, 360.316667,100
423,517.386364, 355.545455,100
424,516.076923, 348.777778,100
425,515.988764, 341.382022,100
426,515.296610, 333.618644,100
427,513.900000, 326.333333,100
428,508.641026, 320.170940,100
429,497.758242, 314.439560,100
430,484.709402, 308.641026,100
431,467.483516, 303.186813,100
432,447.000000, 298.173913,100
433,426.989362, 292.659574,100
434,398.469565, 286.434783,100
435,375.279570, 280.849462,100
436,353.039604, 273.772277,100
437,326.577982, 266.688073,100
438,301.603306, 258.743802,100
439,284.890244, 253.951220,100
440,271.365079, 247.500000,100
441,259.202381, 242.071429,100
442,250.524194, 237.927419,100
443,244.200000, 233.376471,100
444,239.422764, 228.691057,100
445,236.275862, 223.862069,100
446,235.000000, 220.850000,100
447,235.000000, 217.579545,100
448,235.000000, 215.542373,100
449,235.000000, 214.223529,100
450,237.350000, 212.000000,100
451,238.977273, 213.465909,100
452,241.957627, 215.000000,100
453,244.422222, 215.000000,100
454,249.284483, 216.517241,100
455,252.670330, 217.000000,100
456,256.000000, 217.000000,100
457,256.000000, 216.666667,100
458,250.381356, 211.652542,100
459,240.554348, 202.369565,100
460,226.904348, 188.600000,100
461,209.153846, 172.373626,100
462,188.938596, 152.175439,100
463,166.123596, 131.775281,100
464,143.894737, 108.473684,100
465,118.043956,  84.912088,100
466, 97.097345,  64.371681,100
467, 73.630435,  42.989130,100
468, 53.159292,  25.194690,100
469, 33.473118,   8.204301,100
470, 17.909910,  -5.630631,100
471,  3.237113, -15.938144,100
472, -8.904762, -26.000000,100
473,-19.202532, -30.949367,100
474,-25.826772, -33.000000,100
475,-33.000000, -33.000000,100
476,-36.203252, -33.000000,100
477,-39.214286, -29.595238,100
478,-40.000000, -26.672131,100
479,-40.000000, -23.329412,100
480,-39.442623, -18.647541,100
481,-38.000000, -14.197674,100
482,-36.764706, -11.176471,100
483,-32.701149,  -6.448276,100
484,-29.229508,  -3.844262,100
485,-26.290698,  -1.255814,100
486,-22.940000,   0.500000,100
487,-20.000000,   2.000000,100
488,-15.771186,   4.720339,100
489,-12.866667,   5.000000,100
490,-10.457627,   6.576271,100
491, -6.011111,   7.500000,100
492,  0.533898,   2.949153,100
493,  9.977778,  -6.422222,100
494, 23.444444, -20.786325,100
495, 41.588889, -38.444444,100
496, 57.741071, -56.196429,100
497, 84.179775, -89.191011,100
498,104.952830,-112.735849,100
499,127.181818,-140.431818,100
500,149.383178,-164.411215,100
501,169.722222,-189.644444,100
502,189.537736,-210.877358,100
503,206.833333,-231.444444,100
504,222.870370,-247.592593,100
505,237.428571,-262.912088,100
506,250.454545,-276.936364,100
507,260.175824,-286.230769,100
508,268.296296,-293.212963,100
509,275.608696,-300.304348,100
510,279.254545,-303.490909,100
511,281.000000,-305.733333,100
512,282.392857,-304.883929,100
513,283.769231,-302.901099,100
514,284.000000,-297.972727,100
515,284.000000,-291.793478,100
516,281.055556,-286.759259,100
517,279.000000,-281.451613,100
518,276.190909,-278.490909,100
519,272.462366,-272.096774,100
520,271.000000,-266.271028,100
521,271.000000,-256.282609,100
522,275.577982,-239.045872,100
523,284.163043,-215.576087,100
524,297.851852,-185.166667,100
525,315.033708,-148.123596,100
526,334.953271,-104.915888,100
527,358.714286, -58.780220,100
528,384.133333, -10.638095,100
529,407.703297,  36.791209,100
530,429.607477,  85.280374,100
531,449.456522, 131.141304,100
532,468.449541, 174.330275,100
533,485.806452, 215.043011,100
534,500.436364, 249.636364,100
535,514.042553, 283.638298,100
536,524.790909, 309.390909,100
537,533.958763, 329.793814,100
538,540.453704, 346.018519,100
539,545.479167, 359.250000,100
540,547.000000, 366.072727,100
541,548.705263, 370.873684,100
542,549.481818, 371.000000,100
543,547.126316, 370.842105,100
544,543.879630, 367.518519,100
545,539.773196, 362.907216,100
546,535.917431, 357.174312,100
547,529.618557, 349.567010,100
548,524.472222, 341.574074,100
549,518.765306, 334.632653,100
550,513.407407, 328.407407,100
551,507.000000, 321.071429,100
552,496.666667, 313.990741,100
553,482.757576, 310.000000,100
554,466.138889, 305.212963,100
555,446.474747, 302.000000,100
556,424.627273, 298.427273,100
557,400.191919, 296.000000,100
558,376.183486, 292.871560,100
559,351.069307, 290.148515,100
560,328.688679, 285.858491,100
561,305.666667, 281.404762,100
562,282.118644, 275.042373,100
563,259.973451, 268.362832,100
564,243.261905, 264.071429,100
565,232.861789, 261.073171,100
566,217.768293, 253.987805,100
567,209.520325, 250.357724,100
568,200.337209, 248.000000,100
569,196.040650, 243.959350,100
570,194.000000, 241.517241,100
571,194.000000, 239.450000,100
572,194.000000, 238.000000,100
573,194.000000, 238.000000,100
574,195.348315, 236.617978,100
575,200.560976, 235.000000,100
576,204.318182, 235.000000,100
577,208.183333, 236.775000,100
578,211.045455, 238.000000,100
579,216.841667, 239.766667,100
580,220.000000, 240.000000,100
581,218.830508, 239.093220,100
582,214.811111, 233.377778,100
583,202.566667, 222.125000,100
584,187.483146, 204.438202,100
585,172.500000, 190.500000,100
586,155.177778, 171.366667,100
587,127.859649, 141.526316,100
588,110.422222, 122.822222,100
589, 87.829060,  98.264957,100
590, 63.629213,  71.056180,100
591, 47.226087,  52.226087,100
592, 28.978022,  30.142857,100
593, 18.286957,  18.608696,100
594,  3.064516,   0.548387,100
595,-10.434783, -13.826087,100
596,-20.389474, -23.494737,100
597,-26.646018, -30.513274,100
598,-34.178947, -34.852632,100
599,-36.400000, -35.872727,100
600,-40.000000, -38.000000,100
601,-42.135135, -35.864865,100
602,-43.000000, -33.916667,100
603,-42.864865, -30.324324,100
604,-42.443299, -28.618557,100
605,-41.754386, -25.938596,100
606,-38.000000, -17.742268,100
607,-36.714286, -16.142857,100
608,-35.000000, -13.625000,100
609,-31.330357, -10.053571,100
610,-25.061224,  -7.000000,100
611,-21.636364,  -7.000000,100
612,-18.175258,  -6.030928,100
613,-14.378378,  -5.000000,100
614,-10.795918,  -5.000000,100
615, -8.526316,  -5.000000,100
616, -6.835052,  -5.000000,100
617, -5.000000,  -6.892857,100
618, -1.204082,  -7.000000,100
619,  1.135135,  -5.864865,100
620,  2.000000,  -5.000000,100
621,  4.169643,  -5.000000,100
622,  5.969697,  -6.494949,100
623,  7.000000,  -7.000000,100
624,  7.000000,  -7.000000,100
